,user_id,created_at,tweet,hashtags,retweet_count,favourite_count,tweet_url,user_location,tweet_urls
155,b'Amarjot42854873',2020-09-28 18:01:31,"b'RT @Amarjot42854873: Do You know? \nSFJ\xe2\x80\x99s #Referendum2020 campaign that kicked off in London, instead of bringing popular support from Sikhs\xe2\x80\xa6'","[{'text': 'Referendum2020', 'indices': [41, 56]}]",27,0,,,[]
156,b'DayTraderBT',2020-09-28 17:52:17,"b'RT @Jasleen_Kaur11: Mr.Pannun, This is what a Real Indian #Sikh wants. We Sikhs are an inseparable part of #India, and we are proud to be a\xe2\x80\xa6'","[{'text': 'Sikh', 'indices': [58, 63]}, {'text': 'India', 'indices': [107, 113]}]",15,0,,,[]
157,b'Purneawala3',2020-09-28 17:43:28,"b'RT @Jasleen_Kaur11: Mr.Pannun, This is what a Real Indian #Sikh wants. We Sikhs are an inseparable part of #India, and we are proud to be a\xe2\x80\xa6'","[{'text': 'Sikh', 'indices': [58, 63]}, {'text': 'India', 'indices': [107, 113]}]",15,0,,,[]
158,b'smeet7221',2020-09-28 17:30:00,"b'RT @Jasleen_Kaur11: Mr.Pannun, This is what a Real Indian #Sikh wants. We Sikhs are an inseparable part of #India, and we are proud to be a\xe2\x80\xa6'","[{'text': 'Sikh', 'indices': [58, 63]}, {'text': 'India', 'indices': [107, 113]}]",15,0,,,[]
159,b'smeet7221',2020-09-28 17:29:29,"b'RT @Jasleen_Kaur11: Pakistani puppet Pannu, By uploading a picture of voting #Referendum2020 where 5 to10 people gathered near a table and\xe2\x80\xa6'","[{'text': 'Referendum2020', 'indices': [77, 92]}]",7,0,,,[]
160,b'mobilehindu',2020-09-28 16:25:18,"b'RT @Shivam_h9: This is a direct threat, #Referendum2020 is around the corner. These people have become cancer now.'","[{'text': 'Referendum2020', 'indices': [40, 55]}]",13,0,,,[]
161,b'atulsubodh',2020-09-28 16:19:49,"b'RT @Amarjot42854873: Do You know? \nSFJ\xe2\x80\x99s #Referendum2020 campaign that kicked off in London, instead of bringing popular support from Sikhs\xe2\x80\xa6'","[{'text': 'Referendum2020', 'indices': [41, 56]}]",27,0,,,[]
162,b'mahebhagat',2020-09-28 16:12:49,"b'RT @Amarjot42854873: Do You know? \nSFJ\xe2\x80\x99s #Referendum2020 campaign that kicked off in London, instead of bringing popular support from Sikhs\xe2\x80\xa6'","[{'text': 'Referendum2020', 'indices': [41, 56]}]",27,0,,,[]
163,b'JagtarS81109262',2020-09-28 15:36:17,b'RT @KaurVeera120596: The failure of #Referendum2020 is inevitable. That is why #Pannun is trying all his strategies in one go. Be it Door -\xe2\x80\xa6',"[{'text': 'Referendum2020', 'indices': [36, 51]}, {'text': 'Pannun', 'indices': [79, 86]}]",29,0,,,[]
164,b'JustPurePos',2020-09-28 15:14:18,"b""RT @wire_master: Did you know that with #SmartVoting you can easily setup a voting session on the #blockchain?\nThat means that you don't ne\xe2\x80\xa6""","[{'text': 'SmartVoting', 'indices': [40, 52]}, {'text': 'blockchain', 'indices': [98, 109]}]",6,0,,,[]
